Civil Engineering (4 Years, Bachelor of Technology)
Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Computer Science and Engineering (4 Years, Bachelor of Technology)
Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))
Electrical Engineering (4 Years, Bachelor of Technology)
Electronics and Communication Engineering (4 Years, Bachelor of Technology)
Mechanical Engineering (4 Years, Bachelor of Technology)
Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))
Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)
Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Aerospace Engineering (4 Years, Bachelor of Technology)
BS in Mathematics (4 Years, Bachelor of Science)
Chemical Engineering (4 Years, Bachelor of Technology)
Chemistry (4 Years, Bachelor of Science)
Economics (4 Years, Bachelor of Science)
Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Energy Engineering with M.Tech. in Energy Systems Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Engineering Physics (4 Years, Bachelor of Technology)
Environmental Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))
Metallurgical Engineering & Materials Science (5 Years, Bachelor and Master of Technology (Dual Degree))
Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)
Bio Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Data Science and Engineering (4 Years, Bachelor of Technology)
Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)
Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)
Energy Engineering (4 Years, Bachelor of Technology)
Engineering and Computational Mechanics (4 Years, Bachelor of Technology)
Materials Engineering (4 Years, Bachelor of Technology)
Mathematics and Computing (4 Years, Bachelor of Technology)
Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))
Production and Industrial Engineering (4 Years, Bachelor of Technology)
Textile Technology (4 Years, Bachelor of Technology)
Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Agricultural and Food Engineering (4 Years, Bachelor of Technology)
Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))
Applied Geology (4 Years, Bachelor of Science)
Architecture (5 Years, Bachelor of Architecture)
Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))
Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))
Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)
Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))
Exploration Geophysics (4 Years, Bachelor of Science)
Industrial and Systems Engineering (4 Years, Bachelor of Technology)
Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))
Instrumentation Engineering (4 Years, Bachelor of Technology)
Manufacturing Science and Engineering (4 Years, Bachelor of Technology)
Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))
Mathematics and Computing (4 Years, Bachelor of Science)
Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))
Mining Engineering (4 Years, Bachelor of Technology)
Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)
Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))
Physics (4 Years, Bachelor of Science)
Artificial Intelligence (4 Years, Bachelor of Technology)
Biomedical Engineering (4 Years, Bachelor of Technology)
Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)
Computational Engineering (4 Years, Bachelor of Technology)
Engineering Science (4 Years, Bachelor of Technology)
Industrial Chemistry (4 Years, Bachelor of Technology)
Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)
Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)
Bio Engineering (4 Years, Bachelor of Technology)
Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)
Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)
Earth Sciences (4 Years, Bachelor of Science)
Materials Science and Engineering (4 Years, Bachelor of Technology)
Mathematics and Scientific Computing (4 Years, Bachelor of Science)
Statistics and Data Science (4 Years, Bachelor of Science)
Biological Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))
Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))
Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)
Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))
Electrical and Electronics Engineering (4 Years, Bachelor of Technology)
Biosciences and Bioengineering (4 Years, Bachelor of Technology)
Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))
Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))
Geological Technology (5 Years, Integrated Master of Technology)
Geophysical Technology (5 Years, Integrated Master of Technology)
Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))
Applied Geology (5 Years, Integrated Master of Technology)
Applied Geophysics (5 Years, Integrated Master of Technology)
Environmental Engineering (4 Years, Bachelor of Technology)
Mathematics and Computing (5 Years, Integrated Master of Technology)
Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)
Mining Machinery Engineering (4 Years, Bachelor of Technology)
Petroleum Engineering (4 Years, Bachelor of Technology)
Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))
Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))
Ceramic Engineering (4 Years, Bachelor of Technology)
Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))
Electronics Engineering (4 Years, Bachelor of Technology)
Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))
Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))
Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))
Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Metallurgical Engineering (4 Years, Bachelor of Technology)
Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)
Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))
Chemical Science and Technology (4 Years, Bachelor of Technology)
Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)
Electronics and Electrical Engineering (4 Years, Bachelor of Technology)
Bio Technology (4 Years, Bachelor of Technology)
Industrial and Production Engineering (4 Years, Bachelor of Technology)
Information Technology (4 Years, Bachelor of Technology)
Instrumentation and Control Engineering (4 Years, Bachelor of Technology)
Mathematics and Data Science (5 Years, Bachelor and Master of Technology (Dual Degree))
Planning (4 Years, Bachelor of Planning)
Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))
Computational Mathematics (5 Years, Bachelor and Master of Technology (Dual Degree))
Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)
Production Engineering (4 Years, Bachelor of Technology)
Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))
Chemistry (5 Years, Integrated Master of Science)
Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))
Bio Medical Engineering (4 Years, Bachelor of Technology)
Computer Engineering (4 Years, Bachelor of Technology)
Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology (Dual Degree))
Food Process Engineering (4 Years, Bachelor of Technology)
Industrial Design (4 Years, Bachelor of Technology)
Life Science (5 Years, Integrated Master of Science)
Mathematics (5 Years, Integrated Master of Science)
Physics (5 Years, Integrated Master of Science)
Electronics and Telecommunication Engineering (4 Years, Bachelor of Technology)
Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)
Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)
Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)
Information Technology-Business Informatics (4 Years, Bachelor of Technology)
Computer Science and Engineering with Major in Artificial Intelligence (4 Years, Bachelor of Technology)
Smart Manufacturing (4 Years, Bachelor of Technology)
Computer Science (4 Years, Bachelor of Technology)
Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)
Computer Science and Business (4 Years, Bachelor of Technology)
Electronics and Communication Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)
Mechanical Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)
Computer Science and Engineering with specialization in Cyber Security (4 Years, Bachelor of Technology)
Computer Science and Engineering (with Specialization of Data Science and Artificial Intelligence) (4 Years, B. Tech / B. Tech (Hons.))
Electronics and Communication Engineering (with Specialization of Embedded Systems and Internet of Things) (4 Years, B. Tech / B. Tech (Hons.))
Mechatronics Engineering (4 Years, Bachelor of Technology)
Agricultural Engineering (4 Years, Bachelor of Technology)
Food Technology (5 Years, Integrated Master of Science)
Mathematics and Computing (5 Years, Integrated Master of Science)
Quantitative Economics & Data Science (5 Years, Integrated Master of Science)
Carpet and Textile Technology (4 Years, Bachelor of Technology)
Electronics System Engineering (4 Years, Bachelor of Technology)
Food Technology (4 Years, Bachelor of Technology)
Food Engineering and Technology (4 Years, Bachelor of Technology)
Electrical and Instrumentation Engineering (4 Years, Bachelor of Technology)
Computer Science (5 Years, Integrated Master of Technology)
Computer Science & Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))
Electronics & Communication Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))
Food Technology and Management (4 Years, Bachelor of Technology)
Handloom and Textile Technology (4 Years, Bachelor of Technology)
Computer Science Engineering (Artificial Intelligence) (4 Years, B. Tech / B. Tech (Hons.))
Computer Science Engineering (Data Science) (4 Years, B. Tech / B. Tech (Hons.))
Chemical Engineering (5 Years, Integrated Masters in Technology)
